"MATCH_SCORE","ID_1","NAME_1","HOSTNAME_1","NEIGHB_1","LATITUDE_1","LONGITUDE_1","ROOM_TYPE_1","ID_2","NAME_2","HOSTNAME_2","NEIGHB_2","LATITUDE_2","LONGITUDE_2","ROOM_TYPE_2"
"100","675675","Angolo Romano b&b Vaticano M.Cipro","Gianfranco","I Centro Storico","4,190,909","1,244,512","Private room","268618","angolo romano b&b Vaticano M.Cipro","Gianfranco","I Centro Storico","4,190,938","1,244,607","Private room"
"100","677599","Angolo Romano b&b Vaticano M.Cipro","Gianfranco","I Centro Storico","4,190,905","1,244,511","Private room","268618","angolo romano b&b Vaticano M.Cipro","Gianfranco","I Centro Storico","4,190,938","1,244,607","Private room"
"100","677815","Angolo Romano b&b Vaticano M.Cipro","Gianfranco","I Centro Storico","419,079","124,444","Private room","268618","angolo romano b&b Vaticano M.Cipro","Gianfranco","I Centro Storico","4,190,938","1,244,607","Private room"
"100","354949","Private room w/bathroom Rainbow b&b","Michela","I Centro Storico","4,190,981","1,245,758","Entire home/apt","316438","Private room w/bathroom Rainbow b&b","Michela","I Centro Storico","4,191,024","1,245,733","Entire home/apt"
"100","711057","Gelsomina room in S.Pietro Double","Mattia","I Centro Storico","419,063","1,245,823","Private room","339909","Gelsomina room in S.Pietro double","Mattia","I Centro Storico","4,190,767","1,245,706","Private room"
"100","552958","Romahouse Vatican View Apartment 11","Daniela","XIII Aurelia","4,189,642","1,244,813","Entire home/apt","400179","Romahouse Vatican View Apartment 11","Daniela","XIII Aurelia","4,189,636","1,244,932","Entire home/apt"
"100","678572","Bright rooms in the heart of Rome","Davide","VIII Appia Antica","418,536","1,247,476","Private room","621975","Bright room in the heart of Rome","Davide","VIII Appia Antica","4,185,502","1,247,387","Private room"
"100","678599","Bright rooms in the heart of Rome","Davide","VIII Appia Antica","4,185,421","1,247,472","Private room","621975","Bright room in the heart of Rome","Davide","VIII Appia Antica","4,185,502","1,247,387","Private room"
"100","677599","Angolo Romano b&b Vaticano M.Cipro","Gianfranco","I Centro Storico","4,190,905","1,244,511","Private room","675675","Angolo Romano b&b Vaticano M.Cipro","Gianfranco","I Centro Storico","4,190,909","1,244,512","Private room"
"100","677815","Angolo Romano b&b Vaticano M.Cipro","Gianfranco","I Centro Storico","419,079","124,444","Private room","675675","Angolo Romano b&b Vaticano M.Cipro","Gianfranco","I Centro Storico","4,190,909","1,244,512","Private room"
"100","677815","Angolo Romano b&b Vaticano M.Cipro","Gianfranco","I Centro Storico","419,079","124,444","Private room","677599","Angolo Romano b&b Vaticano M.Cipro","Gianfranco","I Centro Storico","4,190,905","1,244,511","Private room"
"100","678599","Bright rooms in the heart of Rome","Davide","VIII Appia Antica","4,185,421","1,247,472","Private room","678572","Bright rooms in the heart of Rome","Davide","VIII Appia Antica","418,536","1,247,476","Private room"
"100","1229976","Apartment in Rome on the Lake","Livia","XV Cassia/Flaminia","4,211,997","1,232,845","Entire home/apt","1034024","Apartment in Rome on the Lake","Livia","XV Cassia/Flaminia","4,212,059","123,243","Entire home/apt"
"100","1230046","Apartment in Rome on the Lake","Livia","XV Cassia/Flaminia","4,211,906","1,232,344","Entire home/apt","1034024","Apartment in Rome on the Lake","Livia","XV Cassia/Flaminia","4,212,059","123,243","Entire home/apt"
"100","1054438","B&B - Center of Rome - Termini","Francesca","I Centro Storico","4,190,756","1,249,816","Private room","1002079","B&B - Center of Rome - Termini","Francesca","I Centro Storico","4,190,801","1,249,627","Private room"
"100","1054445","B&B - Center of Rome - Termini","Francesca","I Centro Storico","4,190,788","12,497","Private room","1002079","B&B - Center of Rome - Termini","Francesca","I Centro Storico","4,190,801","1,249,627","Private room"
"100","1054445","B&B - Center of Rome - Termini","Francesca","I Centro Storico","4,190,788","12,497","Private room","1054438","B&B - Center of Rome - Termini","Francesca","I Centro Storico","4,190,756","1,249,816","Private room"
"100","1286823","Dormitory mixed  (M and F)","Romangelo","I Centro Storico","4,190,017","125,022","Shared room","1218665","Dormitory mixed  (M and F)","Romangelo","I Centro Storico","4,189,945","1,250,229","Shared room"
"100","1230046","Apartment in Rome on the Lake","Livia","XV Cassia/Flaminia","4,211,906","1,232,344","Entire home/apt","1229976","Apartment in Rome on the Lake","Livia","XV Cassia/Flaminia","4,211,997","1,232,845","Entire home/apt"
"100","1200376","B&B Le Baruffe","B&B Le Baruffe Paola & Matteo","IX Eur","4,175,743","124,979","Private room","1196630","B&B Le Baruffe","B&B Le Baruffe Paola & Matteo","IX Eur","4,175,756","1,249,745","Private room"
"100","820984","St Peter-Big apart in front of Dome","Nicola","I Centro Storico","4,190,571","1,245,951","Entire home/apt","1325688","St Peter-Big apart in front of Dome","Nicola","I Centro Storico","4,190,703","1,245,759","Entire home/apt"
"100","1272534","Central Rome, room with private bathroom","Sabrina  & Roberto","XII Monte Verde","4,187,384","1,246,161","Private room","1325870","Central Rome, room with private bathroom","Sabrina  & Roberto","XII Monte Verde","4,187,562","1,246,143","Private room"
"100","995864","B&B A Casa di Lia Home in Rome","Lia","II Parioli/Nomentano","4,192,374","124,669","Private room","1480512","B&B A Casa di Lia Home in Rome","Lia","II Parioli/Nomentano","4,192,495","1,246,565","Private room"
"100","1272534","Central Rome, room with private bathroom","Sabrina  & Roberto","XII Monte Verde","4,187,384","1,246,161","Private room","1719412","Central Rome, room with private bathroom","Sabrina  & Roberto","XII Monte Verde","4,187,604","1,246,185","Private room"
"100","1295484","Central Rome, room on Gianicolo Hill","Sabrina  & Roberto","XII Monte Verde","4,187,548","1,246,068","Private room","1722762","Central Rome, room on Gianicolo Hill","Sabrina  & Roberto","XII Monte Verde","4,187,381","1,246,088","Private room"
"100","797304","APARTMENT TRASTEVERE 8 people","Manuela","XII Monte Verde","4,187,931","124,675","Entire home/apt","2001397","Apartment Trastevere 8 people","Manuela","XII Monte Verde","4,188,073","1,246,606","Entire home/apt"
"100","777449","Trastevere 8 bed Apartment","Manuela","XII Monte Verde","4,187,942","1,246,635","Entire home/apt","2698885","Trastevere 8 bed Apartment","Manuela","XII Monte Verde","4,187,901","1,246,576","Entire home/apt"
"100","981164","BIG DOUBLE BEDROOM CLOSE TO METRO A","Marco","XIII Aurelia","4,190,552","1,242,324","Private room","2620391","Big double bedroom close to Metro A","Marco","XIII Aurelia","4,190,278","1,241,773","Private room"
"100","1248421","Colosseo - Independent Apartment with Living Room","Maria Alberta","I Centro Storico","4,188,687","1,249,831","Entire home/apt","2855389","Colosseo - Independent Apartment with Living Room","Maria Alberta","I Centro Storico","4,188,692","1,249,832","Entire home/apt"
"100","683861","Green Apartments Rome N°4","Andrea","I Centro Storico","4,188,967","1,250,171","Entire home/apt","5178700","Green Apartments Rome N°3","Andrea","I Centro Storico","4,188,947","1,250,106","Entire home/apt"
